자치구,시설수,인구_참고치,면적km2,인구1만명당,면적1km2당,공공,민간,갤러리·전시공간,공공도서관,공연장,국악공연시설,궁궐·전통문화시설,기념관·기념물,문화원·지역문화센터,미술관,박물관,복합문화공간,스페셜티 카페,역사유적·문화재,영화관·시네마테크,작은도서관,콘서트홀
종로구,565,149000,23.91,37.92,23.63,24,34,117,26,169,1,12,36,1,23,78,37,26,18,16,2,3
중구,234,131000,9.96,17.86,23.49,10,15,5,10,132,1,1,29,0,2,18,9,12,6,8,1,0
강남구,148,561000,39.5,2.64,3.75,6,16,8,30,35,0,1,7,1,1,10,35,11,1,7,1,0
마포구,121,372000,23.85,3.25,5.07,4,22,0,21,45,0,0,7,0,0,12,6,19,0,8,2,1
동작구,113,380000,16.35,2.97,6.91,2,1,0,21,57,1,1,15,0,1,8,4,1,0,2,2,0
서대문구,99,318000,17.63,3.11,5.62,3,6,1,35,21,0,0,19,2,0,8,4,4,0,4,1,0
서초구,96,413000,46.98,2.32,2.04,10,20,4,15,32,0,1,3,0,2,6,13,12,0,6,0,2
성북구,87,435000,24.58,2.0,3.54,2,8,2,30,18,0,5,7,0,0,8,8,4,1,2,1,1
동대문구,72,358000,14.22,2.01,5.06,3,6,2,32,9,0,0,4,0,0,8,6,6,0,4,1,0
영등포구,71,397000,24.55,1.79,2.89,4,7,0,22,23,0,0,5,0,0,5,4,7,0,3,1,1
강서구,66,562000,41.44,1.17,1.59,4,9,1,30,8,0,0,2,0,2,4,6,6,0,4,3,0
송파구,65,655000,33.88,0.99,1.92,5,11,1,9,13,0,0,11,0,2,8,4,9,0,1,6,1
용산구,64,217000,21.87,2.95,2.93,6,8,3,5,14,0,0,9,0,2,10,12,5,0,3,0,1
노원구,64,496000,35.44,1.29,1.81,4,5,0,34,8,0,0,3,0,2,7,2,1,1,5,1,0
광진구,60,339000,17.06,1.77,3.52,1,3,1,18,19,0,0,4,1,0,2,6,3,1,5,0,0
성동구,50,281000,16.86,1.78,2.97,3,10,7,15,8,0,0,1,0,1,3,3,10,0,2,0,0
구로구,46,411000,20.12,1.12,2.29,1,4,0,27,11,0,0,1,2,0,1,0,1,0,3,0,0
강동구,44,460000,24.59,0.96,1.79,3,3,1,21,8,0,1,0,0,0,2,1,3,0,7,0,0
도봉구,38,306000,20.65,1.24,1.84,2,2,1,18,5,0,0,3,0,0,4,1,2,0,3,1,0
은평구,37,465000,29.71,0.8,1.25,5,7,2,20,2,0,0,3,0,1,3,2,3,0,1,0,0
관악구,36,486000,29.57,0.74,1.22,2,5,0,14,3,0,1,5,0,1,3,2,3,0,3,1,0
양천구,35,434000,17.41,0.81,2.01,1,3,0,18,6,0,1,2,0,0,2,1,2,0,2,1,0
강북구,33,289000,23.6,1.14,1.4,1,1,1,18,4,1,0,2,0,0,2,2,0,1,1,1,0
중랑구,30,385000,18.5,0.78,1.62,2,2,1,16,3,0,0,0,0,0,1,3,2,0,3,1,0
금천구,27,239000,13.02,1.13,2.07,6,0,0,12,8,0,0,3,0,1,0,1,0,0,2,0,0
